PRT_1,PRT_2,PRT_3,PRT_4,MOL_1,MOL_2,MOL_3,MOL_4,BLK_1,BLK_2,BLK_3,BLK_4
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
0.0,258.0,0.0,0.0,1086.0,0.0,0.0,0.0,61158.0,87279.0,0.0,0.0
